           name        mass       width    J    I  I_3         pid   B   Q   S   C   T   B
Lambda(1670)(S01)bar        1.67       0.035  0.5    0    0      -33122  -1   0   1   0   0   0
Sigma(1670)(D13)+        1.67        0.06  1.5    1    1       13224   1   1  -1   0   0   0
Sigma(1670)(D13)+bar        1.67        0.06  1.5    1   -1      -13224  -1  -1   1   0   0   0
Sigma(1670)(D13)        1.67        0.06  1.5    1    0       13214   1   0  -1   0   0   0
Sigma(1670)(D13)bar        1.67        0.06  1.5    1    0      -13214  -1   0   1   0   0   0
Sigma(1670)(D13)-        1.67        0.06  1.5    1   -1       13114   1  -1  -1   0   0   0
Sigma(1670)(D13)-bar        1.67        0.06  1.5    1    1      -13114  -1   1   1   0   0   0
 omega(3)(1670)       1.667       0.168    3    0    0         227   0   0   0   0   0   0
   pi(1)(1600)+       1.662        0.23    1    1    1     9010213   0   1   0   0   0   0
   pi(1)(1600)-       1.662        0.23    1    1   -1    -9010213   0  -1   0   0   0   0
    pi(1)(1600)       1.662        0.23    1    1    0     9010113   0   0   0   0   0   0
Sigma(1660)(P11)+        1.66         0.1  0.5    1    1       13222   1   1  -1   0   0   0
Sigma(1660)(P11)+bar        1.66         0.1  0.5    1   -1      -13222  -1  -1   1   0   0   0
Sigma(1660)(P11)        1.66         0.1  0.5    1    0       13212   1   0  -1   0   0   0
Sigma(1660)(P11)bar        1.66         0.1  0.5    1    0      -13212  -1   0   1   0   0   0
Sigma(1660)(P11)-        1.66         0.1  0.5    1   -1       13112   1  -1  -1   0   0   0
Sigma(1660)(P11)-bar        1.66         0.1  0.5    1    1      -13112  -1   1   1   0   0   0
  N(1650)(S11)+       1.655       0.165  0.5  0.5  0.5       32212   1   1   0   0   0   0
N(1650)(S11)+bar       1.655       0.165  0.5  0.5 -0.5      -32212  -1  -1   0   0   0   0
   N(1650)(S11)       1.655       0.165  0.5  0.5 -0.5       32112   1   0   0   0   0   0
N(1650)(S11)bar       1.655       0.165  0.5  0.5  0.5      -32112  -1   0   0   0   0   0
Delta(1620)(S31)++        1.63       0.145  0.5  1.5  1.5        2222   1   2   0   0   0   0
Delta(1620)(S31)++bar        1.63       0.145  0.5  1.5 -1.5       -2222  -1  -2   0   0   0   0
Delta(1620)(S31)+        1.63       0.145  0.5  1.5  0.5        2122   1   1   0   0   0   0
Delta(1620)(S31)+bar        1.63       0.145  0.5  1.5 -0.5       -2122  -1  -1   0   0   0   0
Delta(1620)(S31)        1.63       0.145  0.5  1.5 -0.5        1212   1   0   0   0   0   0
Delta(1620)(S31)bar        1.63       0.145  0.5  1.5  0.5       -1212  -1   0   0   0   0   0
Delta(1620)(S31)-        1.63       0.145  0.5  1.5 -1.5        1112   1  -1   0   0   0   0
Delta(1620)(S31)-bar        1.63       0.145  0.5  1.5  1.5       -1112  -1   1   0   0   0   0
Delta(1600)(P33)++         1.6        0.35  1.5  1.5  1.5       32224   1   2   0   0   0   0
Delta(1600)(P33)++bar         1.6        0.35  1.5  1.5 -1.5      -32224  -1  -2   0   0   0   0
Delta(1600)(P33)+         1.6        0.35  1.5  1.5  0.5       32214   1   1   0   0   0   0
Delta(1600)(P33)+bar         1.6        0.35  1.5  1.5 -0.5      -32214  -1  -1   0   0   0   0
Delta(1600)(P33)         1.6        0.35  1.5  1.5 -0.5       32114   1   0   0   0   0   0
Delta(1600)(P33)bar         1.6        0.35  1.5  1.5  0.5      -32114  -1   0   0   0   0   0
Delta(1600)(P33)-         1.6        0.35  1.5  1.5 -1.5       31114   1  -1   0   0   0   0
Delta(1600)(P33)-bar         1.6        0.35  1.5  1.5  1.5      -31114  -1   1   0   0   0   0
Lambda(1600)(P01)         1.6        0.15  0.5    0    0       23122   1   0  -1   0   0   0
Lambda(1600)(P01)bar         1.6        0.15  0.5    0    0      -23122  -1   0   1   0   0   0
  N(1535)(S11)+       1.535        0.15  0.5  0.5  0.5       22212   1   1   0   0   0   0
N(1535)(S11)+bar       1.535        0.15  0.5  0.5 -0.5      -22212  -1  -1   0   0   0   0
   N(1535)(S11)       1.535        0.15  0.5  0.5 -0.5       22112   1   0   0   0   0   0
N(1535)(S11)bar       1.535        0.15  0.5  0.5  0.5      -22112  -1   0   0   0   0   0
 Xi(1530)(P13)-       1.535      0.0099  1.5  0.5 -0.5        3314   1  -1  -2   0   0   0
Xi(1530)(P13)-bar       1.535      0.0099  1.5  0.5  0.5       -3314  -1   1   2   0   0   0
  Xi(1530)(P13)      1.5318      0.0091  1.5  0.5  0.5        3324   1   0  -2   0   0   0
Xi(1530)(P13)bar      1.5318      0.0091  1.5  0.5 -0.5       -3324  -1   0   2   0   0   0
    f(2)'(1525)       1.525       0.073    2    0    0         335   0   0   0   0   0   0
  N(1520)(D13)+        1.52       0.115  1.5  0.5  0.5        2124   1   1   0   0   0   0
N(1520)(D13)+bar        1.52       0.115  1.5  0.5 -0.5       -2124  -1  -1   0   0   0   0
   N(1520)(D13)        1.52       0.115  1.5  0.5 -0.5        1214   1   0   0   0   0   0
N(1520)(D13)bar        1.52       0.115  1.5  0.5  0.5       -1214  -1   0   0   0   0   0
Lambda(1520)(D03)      1.5195      0.0156  1.5    0    0        3124   1   0  -1   0   0   0
Lambda(1520)(D03)bar      1.5195      0.0156  1.5    0    0       -3124  -1   0   1   0   0   0
     f(0)(1500)       1.505       0.109    0    0    0     9030221   0   0   0   0   0   0
    a(0)(1450)+       1.474       0.265    0    1    1       10211   0   1   0   0   0   0
    a(0)(1450)-       1.474       0.265    0    1   -1      -10211   0  -1   0   0   0   0
     a(0)(1450)       1.474       0.265    0    1    0       10111   0   0   0   0   0   0
     rho(1450)+       1.465         0.4    1    1    1      100213   0   1   0   0   0   0
     rho(1450)-       1.465         0.4    1    1   -1     -100213   0  -1   0   0   0   0
      rho(1450)       1.465         0.4    1    1    0      100113   0   0   0   0   0   0
  N(1440)(P11)+        1.44         0.3  0.5  0.5  0.5       12212   1   1   0   0   0   0
N(1440)(P11)+bar        1.44         0.3  0.5  0.5 -0.5      -12212  -1  -1   0   0   0   0
   N(1440)(P11)        1.44         0.3  0.5  0.5 -0.5       12112   1   0   0   0   0   0
N(1440)(P11)bar        1.44         0.3  0.5  0.5  0.5      -12112  -1   0   0   0   0   0
    K(2)*(1430)      1.4324       0.109    2  0.5 -0.5         315   0   0   1   0   0   0
 K(2)*(1430)bar      1.4324       0.109    2  0.5  0.5        -315   0   0  -1   0   0   0
     f(1)(1420)      1.4264      0.0549    1    0    0       20333   0   0   0   0   0   0
   K(2)*(1430)+      1.4256      0.0985    2  0.5  0.5         325   0   1   1   0   0   0
K(2)*(1430)+bar      1.4256      0.0985    2  0.5 -0.5        -325   0  -1  -1   0   0   0
    omega(1420)       1.425       0.215    1    0    0      100223   0   0   0   0   0   0
   K(0)*(1430)+        1.42        0.27    0  0.5  0.5       10321   0   1   1   0   0   0
K(0)*(1430)+bar        1.42        0.27    0  0.5 -0.5      -10321   0  -1  -1   0   0   0
    K(0)*(1430)        1.42        0.27    0  0.5 -0.5       10311   0   0   1   0   0   0
 K(0)*(1430)bar        1.42        0.27    0  0.5  0.5      -10311   0   0  -1   0   0   0
      K*(1410)+       1.414       0.232    1  0.5  0.5      100323   0   1   1   0   0   0
   K*(1410)+bar       1.414       0.232    1  0.5 -0.5     -100323   0  -1  -1   0   0   0
       K*(1410)       1.414       0.232    1  0.5 -0.5      100313   0   0   1   0   0   0
    K*(1410)bar       1.414       0.232    1  0.5  0.5     -100313   0   0  -1   0   0   0
      eta(1405)      1.4098      0.0511    0    0    0     9020221   0   0   0   0   0   0
Lambda(1405)(S01)       1.406        0.05  0.5    0    0       13122   1   0  -1   0   0   0
Lambda(1405)(S01)bar       1.406        0.05  0.5    0    0      -13122  -1   0   1   0   0   0
    K(1)(1400)+       1.403       0.174    1  0.5  0.5       20323   0   1   1   0   0   0
 K(1)(1400)+bar       1.403       0.174    1  0.5 -0.5      -20323   0  -1  -1   0   0   0
     K(1)(1400)       1.403       0.174    1  0.5 -0.5       20313   0   0   1   0   0   0
  K(1)(1400)bar       1.403       0.174    1  0.5  0.5      -20313   0   0  -1   0   0   0
Sigma(1385)(P13)-      1.3872      0.0394  1.5    1   -1        3114   1  -1  -1   0   0   0
Sigma(1385)(P13)-bar      1.3872      0.0394  1.5    1    1       -3114  -1   1   1   0   0   0
Sigma(1385)(P13)      1.3837       0.036  1.5    1    0        3214   1   0  -1   0   0   0
Sigma(1385)(P13)bar      1.3837       0.036  1.5    1    0       -3214  -1   0   1   0   0   0
Sigma(1385)(P13)+      1.3828      0.0358  1.5    1    1        3224   1   1  -1   0   0   0
Sigma(1385)(P13)+bar      1.3828      0.0358  1.5    1   -1       -3224  -1  -1   1   0   0   0
   pi(1)(1400)+       1.351        0.31    1    1    1     9000213   0   1   0   0   0   0
   pi(1)(1400)-       1.351        0.31    1    1   -1    -9000213   0  -1   0   0   0   0
    pi(1)(1400)       1.351        0.31    1    1    0     9000113   0   0   0   0   0   0
     f(0)(1370)        1.35        0.35    0    0    0       30221   0   0   0   0   0   0
       Xi(P11)-     1.32171    4.04e-15  0.5  0.5 -0.5        3312   1  -1  -2   0   0   0
    Xi(P11)-bar     1.32171    4.04e-15  0.5  0.5  0.5       -3312  -1   1   2   0   0   0
    a(2)(1320)+      1.3183       0.107    2    1    1         215   0   1   0   0   0   0
    a(2)(1320)-      1.3183       0.107    2    1   -1        -215   0  -1   0   0   0   0
     a(2)(1320)      1.3183       0.107    2    1    0         115   0   0   0   0   0   0
        Xi(P11)     1.31486    2.28e-15  0.5  0.5  0.5        3322   1   0  -2   0   0   0
     Xi(P11)bar     1.31486    2.28e-15  0.5  0.5 -0.5       -3322  -1   0   2   0   0   0
      pi(1300)+         1.3         0.4    0    1    1      100211   0   1   0   0   0   0
      pi(1300)-         1.3         0.4    0    1   -1     -100211   0  -1   0   0   0   0
       pi(1300)         1.3         0.4    0    1    0      100111   0   0   0   0   0   0
      eta(1295)       1.294       0.055    0    0    0      100221   0   0   0   0   0   0
     f(1)(1285)      1.2818      0.0243    1    0    0       20223   0   0   0   0   0   0
     f(2)(1270)      1.2751       0.185    2    0    0         225   0   0   0   0   0   0
    K(1)(1270)+       1.272        0.09    1  0.5  0.5       10323   0   1   1   0   0   0
 K(1)(1270)+bar       1.272        0.09    1  0.5 -0.5      -10323   0  -1  -1   0   0   0
     K(1)(1270)       1.272        0.09    1  0.5 -0.5       10313   0   0   1   0   0   0
  K(1)(1270)bar       1.272        0.09    1  0.5  0.5      -10313   0   0  -1   0   0   0
Delta(1232)(P33)++       1.232       0.118  1.5  1.5  1.5        2224   1   2   0   0   0   0
Delta(1232)(P33)++bar       1.232       0.118  1.5  1.5 -1.5       -2224  -1  -2   0   0   0   0
Delta(1232)(P33)+       1.232       0.118  1.5  1.5  0.5        2214   1   1   0   0   0   0
Delta(1232)(P33)+bar       1.232       0.118  1.5  1.5 -0.5       -2214  -1  -1   0   0   0   0
Delta(1232)(P33)       1.232       0.118  1.5  1.5 -0.5        2114   1   0   0   0   0   0
Delta(1232)(P33)bar       1.232       0.118  1.5  1.5  0.5       -2114  -1   0   0   0   0   0
Delta(1232)(P33)-       1.232       0.118  1.5  1.5 -1.5        1114   1  -1   0   0   0   0
Delta(1232)(P33)-bar       1.232       0.118  1.5  1.5  1.5       -1114  -1   1   0   0   0   0
    a(1)(1260)+        1.23        0.42    1    1    1       20213   0   1   0   0   0   0
    a(1)(1260)-        1.23        0.42    1    1   -1      -20213   0  -1   0   0   0   0
     a(1)(1260)        1.23        0.42    1    1    0       20113   0   0   0   0   0   0
    b(1)(1235)+      1.2295       0.142    1    1    1       10213   0   1   0   0   0   0
    b(1)(1235)-      1.2295       0.142    1    1   -1      -10213   0  -1   0   0   0   0
     b(1)(1235)      1.2295       0.142    1    1    0       10113   0   0   0   0   0   0
    Sigma(P11)-     1.19745    4.48e-15  0.5    1   -1        3112   1  -1  -1   0   0   0
 Sigma(P11)-bar     1.19745    4.48e-15  0.5    1    1       -3112  -1   1   1   0   0   0
     Sigma(P11)     1.19264       9e-06  0.5    1    0        3212   1   0  -1   0   0   0
